epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,8197.99,1.4686,1.072,0.95516,0.41656,0.30725,0.30619,0.17421,0.17698,1.37981,1.01252,0.93076,0.006139,0.006139,0.006139
41,8397.25,1.47571,1.0747,0.95395,0.40194,0.30439,0.30602,0.17187,0.17512,1.38412,1.01996,0.9302,0.00604,0.00604,0.00604
42,8601.19,1.46451,1.06579,0.95128,0.41183,0.30779,0.30613,0.17117,0.17558,1.38192,1.01533,0.93109,0.005941,0.005941,0.005941
43,8801.7,1.46803,1.06958,0.95146,0.41928,0.30803,0.30839,0.17365,0.17806,1.38,1.01587,0.93186,0.005842,0.005842,0.005842
44,8999.69,1.4568,1.05707,0.95038,0.42536,0.30671,0.3109,0.1745,0.17911,1.37629,1.01204,0.9294,0.005743,0.005743,0.005743
45,9196.04,1.45227,1.05127,0.94818,0.40838,0.31415,0.31307,0.17487,0.18072,1.37183,1.0084,0.9297,0.005644,0.005644,0.005644
46,9392.68,1.45845,1.04838,0.94969,0.42292,0.30842,0.30974,0.17467,0.17828,1.37234,1.00369,0.92936,0.005545,0.005545,0.005545
47,9593.36,1.46295,1.06002,0.94944,0.42946,0.30497,0.31189,0.1751,0.17834,1.37253,1.00727,0.92951,0.005446,0.005446,0.005446
48,9789.5,1.45185,1.04659,0.94706,0.42207,0.30642,0.3092,0.17625,0.17793,1.3718,1.00234,0.92859,0.005347,0.005347,0.005347
49,9993.36,1.44845,1.0416,0.94522,0.42788,0.31044,0.31246,0.17647,0.17916,1.36754,0.99867,0.927,0.005248,0.005248,0.005248
50,10189.8,1.44725,1.04224,0.94472,0.42036,0.31022,0.31337,0.17882,0.1806,1.36863,1.00162,0.92664,0.005149,0.005149,0.005149
51,10391.3,1.43772,1.03661,0.94624,0.42065,0.30625,0.31382,0.17692,0.1802,1.36366,0.99816,0.92695,0.00505,0.00505,0.00505
52,10584.1,1.44503,1.03265,0.94412,0.42491,0.31177,0.31821,0.17775,0.18217,1.36373,0.99283,0.92615,0.004951,0.004951,0.004951
53,10779.3,1.43694,1.02554,0.94274,0.42965,0.31471,0.31634,0.17907,0.18239,1.36086,0.99363,0.92653,0.004852,0.004852,0.004852
54,10976.7,1.43034,1.02307,0.94521,0.42989,0.31205,0.31957,0.18088,0.18414,1.36155,0.99062,0.92593,0.004753,0.004753,0.004753
55,11171,1.42749,1.02022,0.94165,0.43017,0.31244,0.31759,0.18181,0.18394,1.36221,0.99212,0.92558,0.004654,0.004654,0.004654
56,11367.4,1.42536,1.0147,0.9397,0.43512,0.31254,0.31938,0.1817,0.18447,1.35726,0.98665,0.92401,0.004555,0.004555,0.004555
57,11562.7,1.42091,1.01335,0.93963,0.43465,0.31612,0.31953,0.18226,0.18481,1.36069,0.98795,0.92482,0.004456,0.004456,0.004456
58,11764,1.41801,1.011,0.9387,0.42655,0.31855,0.32095,0.18206,0.18537,1.35576,0.98585,0.92465,0.004357,0.004357,0.004357
59,11960.4,1.42536,1.01395,0.93903,0.4331,0.31693,0.31958,0.18221,0.18464,1.35735,0.98625,0.92546,0.004258,0.004258,0.004258
60,12153,1.40951,1.00116,0.94022,0.43303,0.31557,0.32184,0.18162,0.18562,1.3538,0.98085,0.92443,0.004159,0.004159,0.004159
61,12351.5,1.42677,1.00712,0.93972,0.43547,0.31914,0.32094,0.18443,0.18572,1.35288,0.98227,0.92421,0.00406,0.00406,0.00406
62,12545.8,1.412,1.00147,0.93406,0.44164,0.31373,0.32218,0.18536,0.18709,1.35157,0.98029,0.92335,0.003961,0.003961,0.003961
63,12745,1.41558,0.99723,0.93878,0.4383,0.31782,0.32096,0.18321,0.18616,1.35283,0.98174,0.9233,0.003862,0.003862,0.003862
64,12944.7,1.40967,0.99306,0.93491,0.44207,0.31688,0.32145,0.18461,0.18651,1.35261,0.97942,0.92419,0.003763,0.003763,0.003763
65,13139.4,1.40215,0.99034,0.93558,0.43809,0.32236,0.32512,0.18301,0.18796,1.34843,0.97219,0.92209,0.003664,0.003664,0.003664
66,13331.9,1.40445,0.989,0.93711,0.44018,0.32274,0.32399,0.18482,0.18773,1.34812,0.97534,0.92218,0.003565,0.003565,0.003565
67,13533,1.40538,0.98684,0.93476,0.43299,0.32169,0.32157,0.18605,0.18614,1.34649,0.97593,0.92183,0.003466,0.003466,0.003466
68,13732,1.39613,0.97977,0.93374,0.43842,0.32495,0.32492,0.18776,0.18939,1.34512,0.97297,0.92201,0.003367,0.003367,0.003367
